
1,6
1,9
1,10
1,16
1,19
2,7
2,11
2,10
2,14
2,16
2,7
2,11
2,16
2,17
2,10
1,6
1,13
1,18
1,9
1,15
1,6
1,4
1,12
1,16
1,15
1,6
1,16
1,12
1,4
1,13
18,4
18,12
18,9
18,8
18,7
18,18
18,2
18,19
18,7
18,17
18,12
18,9
18,2
18,16
18,18
18,13
18,15
18,12
18,11
18,7
18,11
18,6
18,13
18,4
18,18
18,18
18,9
18,8
18,7
18,19
18,19
18,14
18,17
18,12
18,7
18,11
18,15
18,2
18,17
18,6
18,8
18,13
18,17
18,11
18,10
18,2
18,3
18,11
18,19
18,1
18,11
18,5
18,9
18,7
18,2
18,10
18,7
18,6
18,4
18,9
18,10
18,1
18,18
18,2
18,6
18,17
18,3
18,5
18,1
18,9
18,8
18,6
18,2
18,13
18,16
18,4
18,17
18,19
18,12
18,10
1,6
1,12
1,16
1,4
1,17
1,6
1,16
1,9
1,12
1,15
1,6
1,16
1,9
1,1
1,18
1,1
1,3
1,15
1,19
1,9
1,1
1,4
1,16
1,13
1,3
